Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1,US,11,2024,34,M,true,JMC,MARCH,2025,Lecture 5
1,US,11,2024,34,M,true,PYC,APRIL,2024,Lecture 14
2,AU,11,2021,63,M,false,JMC,OCTOBER,2023,Lecture 13
2,AU,11,2021,63,M,false,PYC,JANUARY,2021,Lecture 11
3,CN,6,2020,49,F,true,JMC,AUGUST,2023,Lecture 7
3,CN,6,2020,49,F,true,PYC,DECEMBER,2021,Lecture 10
4,AU,2,2024,76,F,false,JMC,AUGUST,2025,Lecture 4
4,AU,2,2024,76,F,false,PYC,FEBRUARY,2025,Lecture 14
5,GB,12,2020,59,U,false,JMC,OCTOBER,2021,Lecture 6
5,GB,12,2020,59,U,false,PYC,JUNE,2023,Lecture 4
6,AU,1,2017,51,U,false,JMC,NOVEMBER,2022,Lecture 9
6,AU,1,2017,51,U,false,PYC,JANUARY,2025,Lecture 2
7,IN,4,2019,88,M,false,JMC,FEBRUARY,2023,Lecture 12
7,IN,4,2019,88,M,false,PYC,OCTOBER,2020,Lecture 7
8,IN,3,2019,46,M,false,JMC,MAY,2019,Lecture 4
8,IN,3,2019,46,M,false,PYC,OCTOBER,2020,Lecture 14
9,AU,4,2024,83,M,true,JMC,APRIL,2024,Lecture 3
9,AU,4,2024,83,M,true,PYC,MAY,2024,Lecture 1
10,AU,6,2021,23,M,true,JMC,APRIL,2024,Lecture 2
10,AU,6,2021,23,M,true,PYC,APRIL,2022,Lecture 3
11,AU,11,2022,42,U,false,JMC,JULY,2022,Lecture 13
11,AU,11,2022,42,U,false,PYC,SEPTEMBER,2025,Lecture 2
12,US,2,2025,84,M,false,JMC,APRIL,2025,Lecture 9
12,US,2,2025,84,M,false,PYC,MAY,2025,Lecture 2
13,GB,5,2017,31,M,false,JMC,AUGUST,2019,Lecture 9
13,GB,5,2017,31,M,false,PYC,JULY,2023,Lecture 13
14,AU,6,2016,63,F,false,JMC,JANUARY,2022,Lecture 3
14,AU,6,2016,63,F,false,PYC,SEPTEMBER,2017,Lecture 2
15,CN,7,2016,52,F,true,JMC,FEBRUARY,2025,Lecture 11
15,CN,7,2016,52,F,true,PYC,DECEMBER,2016,Lecture 8
16,AU,12,2015,69,U,false,JMC,APRIL,2018,Lecture 10
16,AU,12,2015,69,U,false,PYC,JANUARY,2017,Lecture 13
17,IN,5,2021,67,U,false,JMC,NOVEMBER,2023,Lecture 12
17,IN,5,2021,67,U,false,PYC,JANUARY,2024,Lecture 7
18,US,8,2021,66,U,false,JMC,APRIL,2022,Lecture 3
18,US,8,2021,66,U,false,PYC,NOVEMBER,2023,Lecture 3
19,CN,12,2016,40,F,false,JMC,DECEMBER,2016,Lecture 1
19,CN,12,2016,40,F,false,PYC,NOVEMBER,2017,Lecture 12
20,US,11,2019,30,F,false,JMC,JANUARY,2021,Lecture 12
20,US,11,2019,30,F,false,PYC,JANUARY,2023,Lecture 1
21,AU,1,2018,22,U,true,JMC,MARCH,2025,Lecture 10
21,AU,1,2018,22,U,true,PYC,APRIL,2024,Lecture 11
22,IN,5,2015,81,U,true,JMC,NOVEMBER,2023,Lecture 3
22,IN,5,2015,81,U,true,PYC,DECEMBER,2024,Lecture 7
23,CN,2,2019,25,F,true,JMC,JULY,2020,Lecture 10
23,CN,2,2019,25,F,true,PYC,JUNE,2025,Lecture 10
24,AU,2,2025,32,U,false,JMC,JUNE,2025,Lecture 4
24,AU,2,2025,32,U,false,PYC,OCTOBER,2025,Lecture 10
25,IN,2,2025,18,M,false,JMC,SEPTEMBER,2025,Lecture 14
25,IN,2,2025,18,M,false,PYC,JUNE,2025,Lecture 6
